time,x,y,teamName
57.6249918,172307.171875,360192.90625,BRU
62.4449918,211280.53125,426891.34375,AAP
65.3899918,167068.078125,473110.3125,GEN
73.1429918,267814.65625,521357.6875,HERO
75.8319918,364816.6875,365108.375,AAA
76.4569918,295068.40625,277002.8125,TL
84.4409918,497760.40625,534355.84375,NH
85.8629918,522857.46875,442081.0625,KX
86.0059918,433246.4375,352168.53125,FURY
92.5049918,606213.125,557118.8125,FaZe
95.2589918,560882.3125,401188.75,SSG
102.2979918,559154.0625,676902.375,Uniq
279.1059918,374454.125,514792.15625,GBL
883.5869918,448535.28125,507546.875,DNW
56.3972202,683360.25,324740.0625,BRU
64.5902202,603579.875,199181.125,FaZe
66.3962202,515265.125,359435.75,SSG
68.5262202,522852.0625,442073.96875,KX
73.5282202,554034.75,220735.75,Uniq
76.3942202,408387.75,472930.4375,AAA
79.1572202,433193.21875,352167.6875,FURY
79.8642202,499809.25,545531.5,NH
88.0792202,316757.78125,485143.90625,AAP
88.5752202,257056.78125,567139.28125,HERO
97.0852202,217833.390625,535366.59375,GEN
143.1022202,339702.75,300999.21875,TL
154.7402202,448560.40625,507592.5625,DNW
60.1711197,97190.390625,374305.75,GEN
60.2041197,172326.78125,360241.15625,BRU
61.1121197,215331.1875,287884.5,TL
61.8371197,156194.21875,272591.25,AAP
73.5381197,312899.875,436597.65625,AAA
77.4071197,438721.25,349917.71875,FURY
82.1531197,522919.1875,442025.8125,KX
82.6831197,515254.03125,359452.6875,SSG
82.8911197,376704.53125,222776.0,Uniq
96.8611197,689264.875,488615.0625,FaZe
104.4801197,476823.0,565484.765625,NH
118.6511197,629346.75,621088.890625,HERO
213.6721197,381622.65625,521393.4375,GBL
569.3581197,448599.78125,507525.40625,BBL
48.1896104,114636.3515625,623607.25,GBL
51.1436104,128936.484375,555592.0625,FaZe
56.7026104,96912.3671875,502609.84375,AAP
64.8646104,150422.796875,457079.90625,SSG
66.6616104,235380.40625,633530.5,KX
