DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,id
4,0,3,714.66095,byplayer,0,0,10,1,2,46.7406,TL_clib,account.71e1a340a2b24ad7847cf6bc13fe3d91,0,5274.409,0,0.0,0,1869,0,1653.5636,5,3,75cbda61-9fc0-425b-94a2-b9781d06474e
2,1,9,326.96014,byplayer,0,4,19,1,1,5.3239,SSG_Keenan,account.d41d767940c24b6dab6b1cd04b6790fd,1,4270.673,0,0.0,0,1768,0,1401.8218,5,6,3701a4b3-a794-48b0-a8a7-a82b2148ee96
0,0,7,0.0,byplayer,0,0,59,0,0,0.0,VP_spyrro,account.05a52ebc312f49c081a043e8403606ea,0,0.0,0,0.0,0,794,0,485.2907,5,15,0afb0446-62df-4372-a654-229a09f87efd
2,0,0,185.5078,byplayer,0,1,62,0,0,0.0,BBL_Smash,account.5a241fe70c45412d9cdd090011acd582,0,0.0,0,0.0,0,197,0,79.17881,2,16,40220098-eb5f-48fe-b992-1f1277afc6b6
6,0,5,835.6789,byplayer,4,3,1,1,5,148.91356,GEN_Inonix,account.51a192cc2a9b4ae88d7e7b9efa79d33f,0,5898.98,0,0.0,0,1908,1,1390.5607,5,2,33fce2e5-635c-429b-ab66-f38bb4c25930
1,0,0,14.492181,byplayer,0,0,63,0,0,0.0,BBL_CodeMarco,account.534c7366149e4114a3e1a24fa219e6ec,0,0.0,0,0.0,0,108,0,14.078125,1,16,8ffbeae4-6eb3-439d-b3d0-d5dd803e60ee
1,0,1,140.69226,byplayer,1,1,25,1,1,295.5524,Uniq_Fate,account.0252627356fb431a8c61b805b74d4aea,0,2469.221,0,0.0,0,1244,0,2125.8818,4,11,36823f5f-1d5b-487d-b02b-f0a88a490f35
1,0,2,100.0,byplayer,0,2,47,0,0,0.0,AAP_SilentKnight,account.67002b09bba94a0eb3ab1d6132bbaeb0,0,9418.381,0,0.0,0,1400,0,1065.4835,5,9,ab870b07-24d9-4169-af3e-c009c1dc3c05
1,0,0,386.626,byplayer,0,0,33,1,1,7.212537,VP_Lu,account.a176261e9fb3455281657ff33ee65bb5,0,0.0,0,0.0,0,768,0,227.11049,3,15,973adf5c-547c-4fdb-a2a2-df2ac4073ae8
0,1,1,21.360212,byplayer,0,0,53,0,0,0.0,Uniq_ADOUZ1E,account.be8d87a4cce7403e984a547d9b5145cc,0,3918.755,0,0.0,0,1233,0,1279.8137,4,11,b2bcc21b-6bac-4f25-bc5d-dba684795a0b
